SourceFile,FileName,GPSLatitude,GPSLongitude,GPSLatitudeRef,GPSLongitudeRef,DateTimeOriginal
C:/Projects/iceland_trip/photos/Iceland Trip/01.jpeg,01.jpeg,,,,,2026:04:04 18:11:15
C:/Projects/iceland_trip/photos/Iceland Trip/02.jpeg,02.jpeg,,,,,2026:04:04 18:14:58
C:/Projects/iceland_trip/photos/Iceland Trip/03.jpeg,03.jpeg,,,,,2026:04:04 18:16:22
C:/Projects/iceland_trip/photos/Iceland Trip/04.jpeg,04.jpeg,,,,,2026:04:04 18:17:10
C:/Projects/iceland_trip/photos/Iceland Trip/23B6AE52-CD1C-428F-B8EE-BC9D3A50D64C.jpg,23B6AE52-CD1C-428F-B8EE-BC9D3A50D64C.jpg,"64 deg 8' 55.97"" N","21 deg 56' 8.38"" W",North,West,2026:04:08 19:30:19
C:/Projects/iceland_trip/photos/Iceland Trip/7E5DF9D7-A40F-4EC2-8F33-09E1A52CE177.jpg,7E5DF9D7-A40F-4EC2-8F33-09E1A52CE177.jpg,,,,,2026:05:03 23:45:37
C:/Projects/iceland_trip/photos/Iceland Trip/All_Phases.png,All_Phases.png,,,,,
C:/Projects/iceland_trip/photos/Iceland Trip/B4F3AAFF-94AD-455F-9416-A6804DBA8634.jpg,B4F3AAFF-94AD-455F-9416-A6804DBA8634.jpg,,,,,2026:05:14 02:30:12
C:/Projects/iceland_trip/photos/Iceland Trip/BCF81687-3A27-4F95-9D1F-7CC7CB25938C.jpg,BCF81687-3A27-4F95-9D1F-7CC7CB25938C.jpg,"64 deg 8' 43.25"" N","21 deg 55' 39.84"" W",North,West,2026:04:09 22:08:16
C:/Projects/iceland_trip/photos/Iceland Trip/F3BC274D-7D5D-46DF-9539-39B18949FDCD.jpg,F3BC274D-7D5D-46DF-9539-39B18949FDCD.jpg,,,,,2026:05:07 20:21:00
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0001.HEIC,IMG_0001.HEIC,"64 deg 4' 54.60"" N","22 deg 41' 20.14"" W",North,West,2026:05:12 10:39:11
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0001.MP4,IMG_0001.MP4,"64 deg 4' 54.48"" N","22 deg 41' 20.04"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0002.HEIC,IMG_0002.HEIC,"64 deg 4' 54.63"" N","22 deg 41' 19.99"" W",North,West,2026:05:12 10:39:15
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0002.MP4,IMG_0002.MP4,"64 deg 4' 54.48"" N","22 deg 41' 20.04"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0003.HEIC,IMG_0003.HEIC,"64 deg 4' 54.71"" N","22 deg 41' 19.12"" W",North,West,2026:05:12 10:52:25
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0003.MP4,IMG_0003.MP4,"64 deg 4' 54.84"" N","22 deg 41' 18.96"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0004.HEIC,IMG_0004.HEIC,"64 deg 4' 54.76"" N","22 deg 41' 19.44"" W",North,West,2026:05:12 10:52:31
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0004.MP4,IMG_0004.MP4,"64 deg 4' 54.84"" N","22 deg 41' 19.32"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0005.HEIC,IMG_0005.HEIC,"64 deg 4' 54.68"" N","22 deg 41' 19.85"" W",North,West,2026:05:12 10:52:43
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0005.MP4,IMG_0005.MP4,"64 deg 4' 54.84"" N","22 deg 41' 19.68"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0006.HEIC,IMG_0006.HEIC,"64 deg 4' 54.71"" N","22 deg 41' 19.81"" W",North,West,2026:05:12 10:53:00
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0006.MP4,IMG_0006.MP4,"64 deg 4' 54.84"" N","22 deg 41' 19.68"" W",,,
